address,degree,turnover,balance,n_tx_in,n_tx_out,received_mint,sent_burn,first_seen
0x01d316ec6aa3a634348468fba8c8668e6dfdba57,107910,64551327.40604681,110807.49096864204,45,459307,False,False,2025-11-06
0x87c73135387346013b1a5d7ec340f1020c6866f9,6582,30713960.28,20637059.720000003,8,24260,False,False,2026-06-18
0x11ac06159e63ff7eb29e5fb2b577eb5700cf9fb0,5254,2076799.4912714465,23000.000000000004,5248,34,False,False,2025-11-18
0x699aa01ba343fc6625991a2fb45783d339a8ebdb,5226,2087360.6809492982,0.0,5219,40,False,False,2025-11-18
0x01b755685b2ab5e0bebba0c2a5a2fae0c2d8cc4a,4877,1944599.4541539522,4800.0,4872,33,False,False,2025-11-18
0x07028f43be2d6b9569a67bde22166e76a9cd42a7,4863,4002500.7992000002,0.0,4863,34,False,False,2025-11-12
0x2df3a39f5266b57e549aeb6f0c0ef48deae2a6e2,4813,1926600.1997999998,0.0,4809,9,False,False,2025-12-02
0x1eb96976a6b1f3b52ad222d838920dd2f5eedd47,4803,1918999.64326226,0.0,4796,37,False,False,2025-11-18
0x43312232d33544ceb8fa28ae8e504a8b90667a0b,4732,1886199.4338471983,5600.0,4728,32,False,False,2025-12-07
0x9c8b5b82fd99c6e46c9da84d9a1bf176aabdc16d,4079,562065562.9384863,0.0,4073,4076,False,False,
0x33b41fe18d3a39046ad672f8a0c8c415454f629c,3804,84338352.77097356,1385.977855831902,3739,3793,False,False,2025-10-31
0x3443c581214f7f8d3a88fb704aa02441c1f78476,3243,1294000.00006,0.0,3234,38,False,False,2025-12-01
0x67366782805870060151383f4bbff9dab53e5cd6,3072,7233663657.540518,34391787.27165622,55992,28858,False,False,2025-10-27
0x16feebd8a0406debc5eaa4eda7b0d73569a66f26,3018,13659829.300873626,3540370.6991263744,5,5445,False,False,2026-01-22
0x596d41ff500b210ba3783a05eca080b0c8071313,2632,1033600.0000100001,17600.0,2628,16,False,False,2026-02-01
0x8b8e45061eb3e31ec3dc84652b98848671c2a4f7,2396,996600.0,200.0,2393,4,False,False,2025-12-01
0xc590175e458b83680867afd273527ff58f74c02b,2325,963009954.3824235,0.0,7284,7576,False,False,
0xfe49e0f18fff77891c716d5ec77cd67bbffb1234,2216,1971549.8043225748,49.8042825748422,2210,11,False,False,2025-11-20
0xb701477199762361b6559cca08527469a634a511,2095,824200.0,12600.0,2092,16,False,False,2026-02-05
0xb9a1e63750f63b4e0a0b546a010d18d4517b3619,1815,284992129.21490574,0.0,1810,1810,False,False,
0xc624bd4a8cb1264a60948983a6b1919ad3a7b9bc,1725,665800.0,23399.999999999996,1723,13,False,False,2026-03-21
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,1664,1138821957.5577798,0.0,7152,10625,False,False,2025-11-03
0xdfa46d9b2fc105482015e47565067929f383f71b,1589,633200.3995999999,0.0,1586,4,False,False,2026-02-22
0x49744675daccd6797e88c3566f510c4d73ba5f7e,1575,607400.0,21799.999999999996,1573,12,False,False,2026-03-22
0xd0077fe0b02c21b107a876284f1c38ef6192502c,1502,600400.0,0.0,1501,1,False,False,2025-12-07
0x85a551b1974f012610199d779e471d7145a1219f,1381,911200.0,0.0,1378,7,False,False,2025-12-01
0x45f7de16fe90ad4a07cfc358f7dc14a0d79e9a76,1378,549200.00006,0.0,1373,5,False,False,2025-12-03
0x11696ee7a88b93a9c2dad7c6a053a83c045a4fb6,1370,646200.32,600.0,1364,36,False,False,2025-11-19
0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,1289,796745188.650563,0.0,4867,4881,False,False,
0x4dfdf2fed89d950bb5a16c819c4f949cd882779e,1278,508800.00000000006,0.0,1272,10,False,False,2025-12-25
0xe6eb8344c6d6ff331dae224625d2a96deea68f2a,1208,189599935.65275195,0.0,1207,1207,False,False,
0x000000000004444c5dc75cb358380d2e3de08a90,1163,2640101633.6261253,23751293.549102984,9298,6135,False,False,2025-10-27
0xc15cb4f3fc767656b593157dba2cd845312e07c6,1094,185982729.7639064,0.0,1091,1091,False,False,
0xeed12a082e816748489077f4937edf01c2a96d26,1047,486000.5059999984,1.552e-09,1041,15,False,False,2025-11-13
0x857f2c7a8061af2df80fdd3262dcb9383849f055,980,391600.0,0.0,979,5,False,False,2025-12-01
0x8799a448d547eada5a8f8ec2df074db7947e3ba7,977,387815.1,1.0,973,16,False,False,2025-11-13
0x11ef6226fca18eef88d06c0e213cd4c43e8c6d81,931,371600.0,0.0,929,9,False,False,2026-01-09
0x35c727ffccf8a465324f69c89600ac8e43f556ea,822,326000.001,0.0,815,11,False,False,2026-01-10
0x533c62c39fa1464cd7919d20175663b3e3a8f214,818,865422560.6268613,29439264.135299593,744,1085,False,False,2026-01-15
0xfda7e76f768ce8152bbe6e2acbf5bf16faf02eb6,811,2439843173.0465937,1815109.9980732028,7108,5242,False,False,2025-10-27
